"Date","Time","Location","Agency","Activity","+/-","Balance"
"12/20/2022","2:40pm","Line: 1-Line Northgate - Angle Lake, Stop: SeaTac/Airport Station","Sound Transit","Tap off, E-purse","$0.00","$43.95"
"12/20/2022","1:39pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, E-purse","-$3.25","$43.95"
"12/18/2022","5:48pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$1.25","$47.20"
"12/18/2022","5:40pm","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Boarding, E-purse","-$3.50","$45.95"
"12/18/2022","12:45pm","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Tap off, E-purse","+$1.00","$49.45"
"12/18/2022","12:36pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, E-purse","-$3.25","$48.45"
"12/17/2022","3:03pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.50","$51.70"
"12/17/2022","2:50pm","Line: 1-Line Northgate - Angle Lake, Stop: Westlake Station","Sound Transit","Boarding, E-purse","-$3.00","$51.20"
"12/17/2022","12:13pm","Line: 1-Line Northgate - Angle Lake, Stop: Westlake Station","Sound Transit","Tap off, E-purse","+$0.75","$54.20"
"12/17/2022","11:49am","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, E-purse","-$3.25","$53.45"
"12/16/2022","6:49pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","$0.00","$56.70"
"12/16/2022","6:42pm","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Transfer","$0.00","$56.70"
"12/16/2022","5:44pm","Line: Everett - Seattle","Sound Transit","Transfer","$0.00","$56.70"
"12/16/2022","5:14pm","Line: N Line Everett - Seattle, Stop: Mukilteo Station","Sound Transit","Tap off, E-purse, Transaction declined (222)","$0.00","$0.00"
"12/16/2022","5:10pm","Line: N Line Everett - Seattle, Stop: Mukilteo Station","Sound Transit","Transfer","-$0.25","$56.70"
"12/16/2022","5:10pm","Line: N Line Everett - Seattle, Stop: Mukilteo Station","Sound Transit","Transfer, Transaction declined (110)","$0.00","$0.00"
"12/16/2022","3:57pm","Line: Mukilteo - Clinton, Stop: WSF","Washington State Ferries","Boarding, E-purse","-$5.80","$56.95"
"12/16/2022","3:26pm","Line: 880 Mukilteo - Northgate Station, Stop: Ash Way Park & Ride Bay 4","Community Transit","Transfer","-$1.00","$62.75"
"12/16/2022","2:47pm","Line: Everett - Seattle","Sound Transit","Transfer","-$1.00","$63.75"
"12/16/2022","2:46pm","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Tap off, E-purse","+$1.00","$64.75"
"12/16/2022","2:40pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, E-purse","-$3.25","$63.75"
"12/12/2022","10:10pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.50","$67.00"
"12/12/2022","10:04pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Transfer","-$0.50","$66.50"
"12/12/2022","9:10pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Tap off, E-purse","+$0.75","$67.00"
"12/12/2022","9:10pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Tap off, E-purse, Transaction declined (110)","$0.00","$0.00"
"12/12/2022","8:55pm","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Transfer","-$0.75","$66.25"
"12/12/2022","8:32pm","Line: 40 Northgte-Ballard-Fremont-Westlake-Downtown Seattle, Stop: 24th Ave NW & NW 77th St","King County Metro","Boarding, E-purse","-$2.75","$67.00"
"12/12/2022","5:16pm","Line: 45 Loyal Heights - University District, Stop: NE 65th St & Oswego Pl NE","King County Metro","Boarding, E-purse","-$2.75","$69.75"
"12/10/2022","2:20pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.25","$72.50"
"12/10/2022","1:55pm","Line: 1-Line Northgate - Angle Lake, Stop: Stadium Station","Sound Transit","Transfer","-$0.25","$72.25"
"12/10/2022","1:22pm","Line: 150 Kent Station - Southcenter - Downtown Seattle, Stop: Andover Park W & Baker Blvd - Bay 4","King County Metro","Boarding, E-purse","-$2.75","$72.50"
"12/10/2022","12:24pm","Line: 128 Southcenter - Alaska Junction - Admiral District, Stop: Tukwila International Blvd Station - Bay 2","King County Metro","Transfer","$0.00","$75.25"
"12/10/2022","12:23pm","Line: 1-Line Northgate - Angle Lake, Stop: Tukwila Int'l Blvd Station","Sound Transit","Tap off, E-purse","$0.00","$75.25"
"12/10/2022","11:12am","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, E-purse","-$3.25","$75.25"
"12/9/2022","11:50pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","$0.00","$78.50"
"12/9/2022","11:42pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Transfer","$0.00","$78.50"
"12/9/2022","11:42pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Transfer, Transaction declined (110)","$0.00","$0.00"
"12/9/2022","10:52pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Tap off, E-purse","+$0.25","$78.50"
"12/9/2022","10:35pm","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Transfer","-$0.25","$78.25"
"12/9/2022","9:53pm","Line: Everett - Seattle","Sound Transit","Transfer","$0.00","$78.50"
"12/9/2022","9:05pm","Line: Everett - Seattle","Sound Transit","Transfer","-$1.00","$78.50"
"12/9/2022","8:45pm","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Tap off, E-purse","+$1.00","$79.50"
"12/9/2022","8:38pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, E-purse","-$3.25","$78.50"
"12/8/2022","9:51pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.25","$81.75"
"12/8/2022","9:18pm","Line: 1-Line Northgate - Angle Lake, Stop: Mount Baker Station","Sound Transit","Transfer","-$0.25","$81.50"
"12/8/2022","9:05pm","Line: 106 Renton Transit Center - Skyway - Downtown Seattle, Stop: Martin L King Jr Way S & 37th Ave S","King County Metro","Boarding, E-purse","-$2.75","$81.75"
"12/8/2022","6:24pm","Line: 106 Renton Transit Center - Skyway - Downtown Seattle, Stop: Martin L King Jr Way S & S Othello St","King County Metro","Transfer","$0.00","$84.50"
"12/8/2022","6:09pm","Line: 1-Line Northgate - Angle Lake, Stop: Othello Station","Sound Transit","Tap off, E-purse","+$0.50","$84.50"
"12/8/2022","5:31pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, E-purse","-$3.25","$84.00"
"12/6/2022","7:15pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","$0.00","$87.25"
"12/6/2022","6:37pm","Line: 1-Line Northgate - Angle Lake, Stop: Westlake Station","Sound Transit","Transfer","$0.00","$87.25"
"12/6/2022","6:00pm","Line: 120 Burien TC - Westwood Village - Downtown Seattle, Stop: 26th Ave SW & SW Barton St - Bay 2","King County Metro","Boarding, All-Day PugetPass $3.50, Pass valid until 12/7/22","$0.00","$87.25"
"12/6/2022","4:07pm","Line: Bellevue - Sea-Tac - W. Seattle","Sound Transit","Transfer","$0.00","$87.25"
"12/6/2022","3:21pm","Line: Lynnwood - Bellevue","Sound Transit","Boarding, All-Day PugetPass $3.50, Pass valid until 12/7/22","$0.00","$87.25"
"12/6/2022","12:50pm","Line: Lynnwood - Bellevue","Sound Transit","Transfer","$0.00","$87.25"
"12/6/2022","12:28pm","Line: Everett - Seattle","Sound Transit","Transfer","$0.00","$87.25"
"12/6/2022","12:16pm","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Tap off, E-purse","$0.00","$87.25"
"12/6/2022","12:07pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, All-Day PugetPass $3.50, Pass valid until 12/7/22","$0.00","$87.25"
"12/6/2022","11:37am","Customer Mobile App","Regional","Pass loaded on card, All-Day PugetPass $3.50","$0.00","$0.00"
"12/6/2022","11:37am","Customer Mobile App","Regional","E-purse purchase","-$8.00","$87.25"
"12/4/2022","8:30pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Transfer, Transaction declined (222)","$0.00","$0.00"
"12/4/2022","8:30pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.50","$95.25"
"12/4/2022","8:18pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Transfer","-$0.75","$94.75"
"12/4/2022","7:58pm","Line: First Hill Streetcar Streetcar: Pioneer Square - Capitol Hill, Stop: S Jackson St & 12th Ave S","King County Metro","Transfer","$0.00","$95.50"
"12/4/2022","6:29pm","Line: First Hill Streetcar Streetcar: Pioneer Square - Capitol Hill, Stop: Broadway & E Pike St","King County Metro","Boarding, E-purse","-$2.25","$95.50"
"12/4/2022","1:38pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Tap off, E-purse","+$0.75","$97.75"
"12/4/2022","1:26pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, E-purse","-$3.25","$97.00"
"12/1/2022","5:29pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$1.25","$100.25"
"12/1/2022","5:20pm","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Boarding, E-purse","-$3.50","$99.00"
"12/1/2022","2:24pm","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Tap off, E-purse","+$1.00","$102.50"
"12/1/2022","2:11pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, E-purse","-$3.25","$101.50"
"11/30/2022","9:40pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.50","$104.75"
"11/30/2022","9:29pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Transfer","-$0.50","$104.25"
"11/30/2022","9:02pm","Line: 255 Totem Lake TC-Kirkand TC-UW Link Sta-Univ Dist, Stop: Kirkland Transit Center - Bay 3","King County Metro","Transfer","$0.00","$104.75"
"11/30/2022","8:21pm","Line: 255 Totem Lake TC-Kirkand TC-UW Link Sta-Univ Dist, Stop: Montlake Blvd NE & NE Pacific Pl - Bay 3","King County Metro","Transfer","$0.00","$104.75"
"11/30/2022","8:12pm","Line: 1-Line Northgate - Angle Lake, Stop: Univ of Washington Station","Sound Transit","Tap off, E-purse","+$0.50","$104.75"
"11/30/2022","8:02pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 12/1/22","-$0.50","$104.25"
"11/30/2022","2:47pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.75","$104.75"
"11/30/2022","2:35pm","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Transfer","-$0.75","$104.00"
"11/30/2022","2:05pm","Line: 67 Northgate - Roosevelt - University District, Stop: Roosevelt Station - Bay 3","King County Metro","Boarding, PugetPass $2.75, Pass valid until 12/1/22","$0.00","$104.75"
