"Date","Time","Location","Agency","Activity","+/-","Balance"
"12/20/2022","2:40pm","Line: 1-Line Northgate - Angle Lake, Stop: SeaTac/Airport Station","Sound Transit","Tap off, E-purse","$0.00","$188.50"
"12/20/2022","1:39pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, E-purse","-$3.25","$188.50"
"11/28/2022","10:47am","Customer Mobile App","Regional","Money loaded on card","+$25.00","$191.75"
"11/28/2022","10:46am","Customer Mobile App","Regional","Money loaded on card","+$50.00","$166.75"
"11/28/2022","10:46am","Customer Mobile App","Regional","Money loaded on card","+$50.00","$116.75"
"11/12/2022","4:10pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.50","$66.75"
"11/12/2022","3:48pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Boarding, E-purse","-$3.00","$66.25"
"11/12/2022","1:59pm","Line: First Hill Streetcar Streetcar: Pioneer Square - Capitol Hill, Stop: S Jackson St & 5th Ave S","King County Metro","Transfer","$0.00","$69.25"
"11/12/2022","1:28pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Tap off, E-purse","+$0.50","$69.25"
"11/12/2022","1:10pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Transfer","-$0.50","$68.75"
"11/12/2022","12:39pm","Line: 45 Loyal Heights - University District, Stop: Roosevelt Station - Bay 1","King County Metro","Boarding, E-purse","-$2.75","$69.25"
"11/11/2022","9:05am","Customer Mobile App","Regional","Money loaded on card","+$50.00","$72.00"
"10/28/2022","1:51pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$1.00","$22.00"
"10/28/2022","1:39pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Boarding, E-purse","-$3.25","$21.00"
"10/28/2022","9:30am","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Tap off, E-purse","+$1.00","$24.25"
"10/28/2022","9:22am","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, E-purse","-$3.25","$23.25"
"10/26/2022","9:30pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.50","$26.50"
"10/26/2022","9:17pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Boarding, E-purse","-$3.00","$26.00"
"10/26/2022","7:07pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Tap off, E-purse","+$0.75","$29.00"
"10/26/2022","6:43pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, E-purse","-$3.25","$28.25"
"10/24/2022","8:50am","Customer Mobile App","Regional","Money loaded on card","+$25.00","$31.50"
"10/22/2022","8:44pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$1.00","$6.50"
